"Country","VariantConstant-fertilityConstant-mortalityHigh variantInstant-replacementLow variantMedium variantMomentumNo changeZero-migration","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Argentina","No change","45,195,774","45,608,333","46,017,901","46,424,111","46,826,632","47,225,170","47,619,480","48,009,339","48,394,579","48,775,054","49,150,649","49,521,244","49,886,748","50,247,026","50,601,988","50,951,562","51,295,686","51,634,421","51,967,908","52,296,450","52,620,230","52,939,298","53,253,651","53,563,398","53,868,621","54,169,396","54,465,785","54,757,734","55,045,146","55,327,856","55,605,718","55,878,737","56,146,913","56,410,134","56,668,314","56,921,353","57,169,297","57,412,185","57,650,100","57,883,104","58,111,311","58,334,830","58,553,819","58,768,483","58,979,075","59,185,847","59,388,988","59,588,733","59,785,383","59,979,318","60,170,859","60,360,235","60,547,690","60,733,481","60,917,893","61,101,185","61,283,561","61,465,205","61,646,320","61,827,070","62,007,628","62,188,126","62,368,684","62,549,413","62,730,397","62,911,726","63,093,449","63,275,621","63,458,252","63,641,329","63,824,817","64,008,727","64,193,043","64,377,770","64,562,884","64,748,356","64,934,143","65,120,174","65,306,353","65,492,581","65,678,719"
"Bolivia (Plurinational State of)","No change","11,673,021","11,839,424","12,007,906","12,178,124","12,349,793","12,522,623","12,696,371","12,870,811","13,045,758","13,221,048","13,396,493","13,571,975","13,747,307","13,922,340","14,096,898","14,270,850","14,444,101","14,616,594","14,788,326","14,959,302","15,129,540","15,299,028","15,467,776","15,635,836","15,803,298","15,970,251","16,136,744","16,302,794","16,468,455","16,633,771","16,798,787","16,963,525","17,128,032","17,292,402","17,456,761","17,621,187","17,785,716","17,950,309","18,114,909","18,279,409","18,443,725","18,607,835","18,771,718","18,935,259","19,098,330","19,260,839","19,422,742","19,584,059","19,744,761","19,904,856","20,064,353","20,223,266","20,381,647","20,539,578","20,697,165","20,854,510","21,011,689","21,168,775","21,325,886","21,483,178","21,640,765","21,798,743","21,957,196","22,116,240","22,275,973","22,436,501","22,597,903","22,760,235","22,923,563","23,087,954","23,253,441","23,420,073","23,587,879","23,756,853","23,927,021","24,098,374","24,270,895","24,444,571","24,619,391","24,795,307","24,972,285"
"Brazil","No change","212,559,417","214,002,631","215,384,332","216,702,698","217,956,094","219,142,987","220,262,030","221,311,989","222,291,816","223,200,598","224,037,576","224,802,247","225,494,268","226,113,537","226,660,145","227,134,312","227,536,442","227,867,020","228,126,571","228,315,761","228,435,497","228,486,671","228,470,706","228,389,714","228,246,174","228,042,421","227,780,005","227,460,430","227,085,912","226,658,786","226,181,177","225,654,867","225,081,234","224,461,521","223,796,723","223,087,938","222,336,713","221,544,532","220,712,392","219,841,136","218,931,794","217,985,888","217,005,136","215,991,236","214,945,981","213,871,245","212,768,843","211,640,718","210,489,141","209,316,501","208,125,189","206,917,216","205,694,683","204,460,082","203,215,998","201,964,893","200,708,695","199,449,255","198,188,837","196,929,716","195,673,927","194,422,984","193,178,116","191,940,596","190,711,543","189,491,865","188,282,441","187,083,807","185,896,064","184,719,011","183,552,495","182,396,446","181,250,902","180,115,875","178,991,319","177,876,963","176,772,331","175,676,728","174,589,206","173,508,585","172,433,452"
"Chile","No change","19,116,201","19,132,654","19,156,330","19,183,547","19,211,871","19,240,171","19,268,659","19,298,822","19,333,203","19,374,982","19,426,818","19,489,559","19,561,173","19,636,256","19,707,371","19,769,008","19,819,148","19,858,712","19,888,732","19,911,360","19,928,210","19,939,219","19,943,687","19,941,974","19,934,576","19,921,867","19,904,096","19,881,440","19,854,133","19,822,420","19,786,500","19,746,605","19,702,897","19,655,483","19,604,418","19,549,774","19,491,687","19,430,330","19,365,908","19,298,629","19,228,685","19,156,224","19,081,354","19,004,169","18,924,735","18,843,130","18,759,486","18,673,917","18,586,542","18,497,434","18,406,690","18,314,437","18,220,818","18,125,976","18,030,067","17,933,255","17,835,651","17,737,408","17,638,720","17,539,798","17,440,828","17,341,932","17,243,200","17,144,769","17,046,736","16,949,210","16,852,269","16,755,952","16,660,266","16,565,189","16,470,711","16,376,833","16,283,539","16,190,857","16,098,770","16,007,271","15,916,300","15,825,829","15,735,755","15,645,963","15,556,336"
