"Country","VariantConstant-fertilityConstant-mortalityHigh variantInstant-replacementLow variantMedium variantMomentumNo changeZero-migration","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Colombia","No change","50,882,891","51,065,532","51,285,273","51,536,408","51,813,075","52,109,216","52,418,538","52,734,575","53,050,789","53,360,805","53,659,000","53,941,227","54,205,321","54,451,433","54,681,260","54,895,989","55,094,674","55,275,908","55,440,069","55,587,908","55,720,014","55,836,513","55,937,364","56,022,916","56,093,569","56,149,708","56,191,616","56,219,567","56,233,925","56,235,078","56,223,383","56,199,127","56,162,576","56,114,067","56,053,921","55,982,460","55,899,967","55,806,626","55,702,520","55,587,653","55,462,080","55,326,013","55,179,734","55,023,432","54,857,379","54,681,817","54,497,021","54,303,311","54,100,954","53,890,234","53,671,515","53,445,145","53,211,576","52,971,238","52,724,613","52,472,211","52,214,446","51,951,878","51,685,210","51,415,229","51,142,661","50,868,023","50,591,779","50,314,487","50,036,682","49,758,872","49,481,453","49,204,803","48,929,329","48,655,466","48,383,544","48,113,800","47,846,379","47,581,360","47,318,770","47,058,589","46,800,787","46,545,309","46,292,083","46,041,001","45,791,954"
"Ecuador","No change","17,643,054","17,867,834","18,095,735","18,326,224","18,558,762","18,792,831","19,027,891","19,263,387","19,498,796","19,733,578","19,967,273","20,199,506","20,430,045","20,658,786","20,885,760","21,110,966","21,334,261","21,555,507","21,774,638","21,991,635","22,206,489","22,419,152","22,629,587","22,837,868","23,044,078","23,248,270","23,450,467","23,650,659","23,848,856","24,045,037","24,239,200","24,431,378","24,621,576","24,809,805","24,996,073","25,180,390","25,362,785","25,543,273","25,721,892","25,898,645","26,073,563","26,246,677","26,418,051","26,587,723","26,755,763","26,922,230","27,087,189","27,250,720","27,412,880","27,573,780","27,733,494","27,892,114","28,049,728","28,206,441","28,362,378","28,517,637","28,672,326","28,826,530","28,980,384","29,133,992","29,287,464","29,440,891","29,594,365","29,748,004","29,901,909","30,056,182","30,210,888","30,366,091","30,521,860","30,678,252","30,835,294","30,993,043","31,151,497","31,310,684","31,470,587","31,631,190","31,792,481","31,954,438","32,117,014","32,280,186","32,443,892"
"Guyana","No change","786,552","790,375","794,415","798,622","802,944","807,334","811,731","816,084","820,337","824,439","828,341","832,018","835,461","838,651","841,617","844,366","846,901","849,213","851,308","853,218","854,934","856,476","857,857","859,071","860,141","861,071","861,882","862,560","863,131","863,570","863,915","864,142","864,268","864,284","864,198","864,002","863,704","863,301","862,789","862,193","861,493","860,700","859,802","858,831","857,752","856,577","855,325","853,967","852,518","850,987","849,351","847,638","845,832","843,941","841,970","839,923","837,805","835,611","833,353","831,024","828,630","826,184","823,666","821,107","818,491","815,824","813,118","810,368","807,569","804,730","801,846","798,923","795,963","792,957","789,935","786,878","783,791","780,681","777,550","774,404","771,226"
"Paraguay","No change","7,132,538","7,223,093","7,313,918","7,404,805","7,495,573","7,586,031","7,676,078","7,765,611","7,854,566","7,942,893","8,030,546","8,117,483","8,203,619","8,288,824","8,372,988","8,456,002","8,537,812","8,618,439","8,697,960","8,776,495","8,854,166","8,930,974","9,006,908","9,082,008","9,156,321","9,229,869","9,302,668","9,374,717","9,446,010","9,516,547","9,586,312","9,655,290","9,723,463","9,790,769","9,857,170","9,922,596","9,987,028","10,050,427","10,112,721","10,173,832","10,233,660","10,292,213","10,349,475","10,405,421","10,460,032","10,513,292","10,565,229","10,615,870","10,665,285","10,713,556","10,760,777","10,807,005","10,852,308","10,896,793","10,940,592","10,983,819","11,026,558","11,068,885","11,110,907","11,152,737","11,194,481","11,236,209","11,277,981","11,319,861","11,361,900","11,404,147","11,446,648","11,489,425","11,532,481","11,575,804","11,619,378","11,663,194","11,707,270","11,751,578","11,796,132","11,840,907","11,885,882","11,931,011","11,976,252","12,021,539","12,066,782"
